Player,Team,Update,Details,Date,Unnamed: 0,Name,Value,Prop
,POR - G,,,2024-01-30,569.0,Malcolm Brogdon,19.5,Pts+Rebs
,POR - C,,,2024-01-30,570.0,Deandre Ayton,23.5,Pts+Rebs
,MIA - C-F,,,2024-01-30,571.0,Bam Adebayo,1.5,Dunks
,PHX - F,,,2024-01-30,572.0,Kevin Durant,0.5,Dunks
,UTA - F-C,,,2024-01-30,573.0,John Collins,0.5,Dunks
,UTA - F-C,,,2024-01-30,574.0,Lauri Markkanen,1.5,Dunks
,BKN - C,,,2024-01-30,575.0,Nicolas Claxton,1.5,Dunks
,LAL - F-C,,,2024-01-30,576.0,Anthony Davis,2.5,Dunks
,HOU - F,,,2024-01-30,577.0,Jabari Smith Jr.,0.5,Dunks
,CHA - G,,,2024-01-30,578.0,LaMelo Ball,32.5,Pts+Asts
,NYK - G,,,2024-01-30,579.0,Jalen Brunson,39.5,Pts+Asts
,NYK - G-F,,,2024-01-30,580.0,OG Anunoby,20.5,Pts+Asts
,NYK - G,,,2024-01-30,581.0,Donte DiVincenzo,17.5,Pts+Asts
,CLE - G,,,2024-01-30,582.0,Donovan Mitchell,36.5,Pts+Asts
,LAC - F,,,2024-01-30,583.0,Kawhi Leonard,28.5,Pts+Asts
,CLE - C,,,2024-01-30,584.0,Jarrett Allen,19.5,Pts+Asts
,LAC - G,,,2024-01-30,585.0,James Harden,27.5,Pts+Asts
,CLE - G-F,,,2024-01-30,586.0,Max Strus,14.5,Pts+Asts
,LAC - F,,,2024-01-30,587.0,Paul George,21.5,Pts+Asts
,LAC - G,,,2024-01-30,588.0,Norman Powell,13.5,Pts+Asts
,LAC - G,,,2024-01-30,589.0,Russell Westbrook,15.5,Pts+Asts
,MIA - C-F,,,2024-01-30,590.0,Bam Adebayo,23.5,Pts+Asts
,PHX - G,,,2024-01-30,591.0,Bradley Beal,21.5,Pts+Asts
,MIA - F,,,2024-01-30,592.0,Jimmy Butler,25.5,Pts+Asts
,PHX - G,,,2024-01-30,593.0,Devin Booker,36.5,Pts+Asts
,MIA - G,,,2024-01-30,594.0,Terry Rozier,21.5,Pts+Asts
,PHX - G,,,2024-01-30,595.0,Grayson Allen,13.5,Pts+Asts
,MIA - G,,,2024-01-30,596.0,Tyler Herro,23.5,Pts+Asts
,PHX - C,,,2024-01-30,597.0,Jusuf Nurkic,13.5,Pts+Asts
,PHX - F,,,2024-01-30,598.0,Kevin Durant,29.0,Pts+Asts
,BKN - F,,,2024-01-30,599.0,Cameron Johnson,14.5,Pts+Asts
,UTA - G,,,2024-01-30,600.0,Collin Sexton,26.5,Pts+Asts
,BKN - G,,,2024-01-30,601.0,Cam Thomas,26.5,Pts+Asts
,UTA - F-C,,,2024-01-30,602.0,John Collins,15.5,Pts+Asts
,BKN - F,,,2024-01-30,603.0,Mikal Bridges,25.5,Pts+Asts
,UTA - F-C,,,2024-01-30,604.0,Lauri Markkanen,26.5,Pts+Asts
,BKN - C,,,2024-01-30,605.0,Nicolas Claxton,16.5,Pts+Asts
,UTA - F,,,2024-01-30,606.0,Simone Fontecchio,10.5,Pts+Asts
,BKN - G,,,2024-01-30,607.0,Spencer Dinwiddie,18.5,Pts+Asts
,NOP - F,,,2024-01-30,608.0,Brandon Ingram,24.5,Pts+Asts
,BOS - G-F,,,2024-01-30,609.0,Jaylen Brown,27.5,Pts+Asts
,NOP - G,,,2024-01-30,610.0,CJ McCollum,20.5,Pts+Asts
,BOS - F-G,,,2024-01-30,611.0,Jayson Tatum,32.5,Pts+Asts
,NOP - G-F,,,2024-01-30,612.0,Herbert Jones,10.5,Pts+Asts
,BOS - F-C,,,2024-01-30,613.0,Kristaps Porzingis,20.5,Pts+Asts
,NOP - C,,,2024-01-30,614.0,Jonas Valanciunas,13.5,Pts+Asts
,NOP - F,,,2024-01-30,615.0,Zion Williamson,25.5,Pts+Asts
,SAS - F-C,,,2024-01-30,616.0,Victor Wembanyama,29.5,Pts+Asts
,WAS - F,,,2024-01-30,617.0,Kyle Kuzma,28.5,Pts+Asts
,SAS - G,,,2024-01-30,618.0,Devin Vassell,23.5,Pts+Asts
,WAS - G,,,2024-01-30,619.0,Jordan Poole,19.5,Pts+Asts
,SAS - F,,,2024-01-30,620.0,Jeremy Sochan,17.5,Pts+Asts
,WAS - F,,,2024-01-30,621.0,Deni Avdija,17.5,Pts+Asts
,SAS - G,,,2024-01-30,622.0,Tre Jones,19.5,Pts+Asts
,WAS - G,,,2024-01-30,623.0,Tyus Jones,21.5,Pts+Asts
,WAS - F-C,,,2024-01-30,624.0,Daniel Gafford,13.5,Pts+Asts
,SAC - G,,,2024-01-30,625.0,De'Aaron Fox,31.0,Pts+Asts
,MEM - F-C,,,2024-01-30,626.0,Jaren Jackson Jr.,29.5,Pts+Asts
,SAC - C,,,2024-01-30,627.0,Domantas Sabonis,26.5,Pts+Asts
,MEM - G-F,,,2024-01-30,628.0,Luke Kennard,18.5,Pts+Asts
,SAC - F,,,2024-01-30,629.0,Harrison Barnes,16.5,Pts+Asts
,MEM - F,,,2024-01-30,630.0,Santi Aldama,15.5,Pts+Asts
,SAC - F,,,2024-01-30,631.0,Keegan Murray,16.5,Pts+Asts
,MEM - G-F,,,2024-01-30,632.0,Vince Williams Jr.,16.5,Pts+Asts
,SAC - G-F,,,2024-01-30,633.0,Kevin Huerter,14.5,Pts+Asts
,MIN - G,,,2024-01-30,634.0,Anthony Edwards,33.5,Pts+Asts
,OKC - C-F,,,2024-01-30,635.0,Chet Holmgren,17.5,Pts+Asts
,MIN - F,,,2024-01-30,636.0,Jaden McDaniels,12.5,Pts+Asts
,OKC - G-F,,,2024-01-30,637.0,Jalen Williams,23.5,Pts+Asts
,MIN - C-F,,,2024-01-30,638.0,Karl-Anthony Towns,26.5,Pts+Asts
,OKC - G,,,2024-01-30,639.0,Josh Giddey,13.5,Pts+Asts
,MIN - G,,,2024-01-30,640.0,Mike Conley,16.5,Pts+Asts
,MIN - C,,,2024-01-30,641.0,Rudy Gobert,15.5,Pts+Asts
,OKC - G,,,2024-01-30,642.0,Shai Gilgeous-Alexander,37.5,Pts+Asts
,HOU - C,,,2024-01-30,643.0,Alperen Sengun,26.5,Pts+Asts
,LAL - F,,,2024-01-30,644.0,LeBron James,32.5,Pts+Asts
,HOU - G,,,2024-01-30,645.0,Jalen Green,22.5,Pts+Asts
,LAL - F-C,,,2024-01-30,646.0,Anthony Davis,28.5,Pts+Asts
,HOU - G,,,2024-01-30,647.0,Fred VanVleet,23.0,Pts+Asts
,LAL - G,,,2024-01-30,648.0,D'Angelo Russell,24.5,Pts+Asts
,HOU - F,,,2024-01-30,649.0,Jabari Smith Jr.,14.5,Pts+Asts
,LAL - G,,,2024-01-30,650.0,Austin Reaves,19.5,Pts+Asts
,HOU - G-F,,,2024-01-30,651.0,Dillon Brooks,13.5,Pts+Asts
,DAL - F-G,,,2024-01-30,652.0,Luka Doncic,48.5,Pts+Asts
,ORL - F,,,2024-01-30,653.0,Paolo Banchero,29.5,Pts+Asts
,DAL - C,,,2024-01-30,654.0,Dereck Lively II,10.5,Pts+Asts
,ORL - F,,,2024-01-30,655.0,Franz Wagner,23.5,Pts+Asts
,ORL - G,,,2024-01-30,656.0,Markelle Fultz,16.0,Pts+Asts
,DAL - G,,,2024-01-30,657.0,Josh Green,13.5,Pts+Asts
,DAL - F,,,2024-01-30,658.0,Derrick Jones Jr.,11.5,Pts+Asts
,DAL - G-F,,,2024-01-30,659.0,Tim Hardaway Jr.,19.5,Pts+Asts
,DEN - C,,,2024-01-30,660.0,Nikola Jokic,36.5,Pts+Asts
,MIL - F,,,2024-01-30,661.0,Giannis Antetokounmpo,38.5,Pts+Asts
,DEN - G,,,2024-01-30,662.0,Jamal Murray,32.5,Pts+Asts
,MIL - G,,,2024-01-30,663.0,Damian Lillard,31.5,Pts+Asts
,DEN - F,,,2024-01-30,664.0,Michael Porter Jr.,16.5,Pts+Asts
,MIL - F,,,2024-01-30,665.0,Khris Middleton,22.5,Pts+Asts
,DEN - F,,,2024-01-30,666.0,Aaron Gordon,16.5,Pts+Asts
,MIL - C,,,2024-01-30,667.0,Brook Lopez,13.5,Pts+Asts
,DEN - G,,,2024-01-30,668.0,Kentavious Caldwell-Pope,12.5,Pts+Asts
,POR - G,,,2024-01-30,669.0,Anfernee Simons,27.5,Pts+Asts
,PHI - C-F,,,2024-01-30,670.0,Joel Embiid,42.5,Pts+Asts
,POR - F,,,2024-01-30,671.0,Jerami Grant,21.5,Pts+Asts
,POR - G,,,2024-01-30,672.0,Malcolm Brogdon,21.5,Pts+Asts
,POR - C,,,2024-01-30,673.0,Deandre Ayton,15.5,Pts+Asts
,UTA - F-C,,,2024-01-30,674.0,John Collins,0.5,Blocked Shots
,BKN - F,,,2024-01-30,675.0,Mikal Bridges,0.5,Blocked Shots
,NOP - G,,,2024-01-30,676.0,CJ McCollum,0.5,Blocked Shots
,BOS - F-G,,,2024-01-30,677.0,Jayson Tatum,0.5,Blocked Shots
,NOP - G-F,,,2024-01-30,678.0,Herbert Jones,0.5,Blocked Shots
,NOP - C,,,2024-01-30,679.0,Jonas Valanciunas,0.5,Blocked Shots
,SAS - F,,,2024-01-30,680.0,Jeremy Sochan,0.5,Blocked Shots
,WAS - F-C,,,2024-01-30,681.0,Daniel Gafford,1.5,Blocked Shots
,MEM - F,,,2024-01-30,682.0,Santi Aldama,0.5,Blocked Shots
,SAC - G-F,,,2024-01-30,683.0,Kevin Huerter,0.5,Blocked Shots
,MIN - C-F,,,2024-01-30,684.0,Karl-Anthony Towns,0.5,Blocked Shots
,LAL - G,,,2024-01-30,685.0,D'Angelo Russell,0.5,Blocked Shots
,HOU - F,,,2024-01-30,686.0,Jabari Smith Jr.,0.5,Blocked Shots
,DAL - C,,,2024-01-30,687.0,Dereck Lively II,1.5,Blocked Shots
,PHI - C-F,,,2024-01-30,688.0,Joel Embiid,1.5,Blocked Shots
,NYK - G-F,,,2024-01-30,689.0,OG Anunoby,1.5,Steals
,CLE - G,,,2024-01-30,690.0,Donovan Mitchell,1.5,Steals
,LAC - F,,,2024-01-30,691.0,Kawhi Leonard,1.5,Steals
,LAC - G-F,,,2024-01-30,692.0,Terance Mann,0.5,Steals
,CLE - F-G,,,2024-01-30,693.0,Isaac Okoro,0.5,Steals
,LAC - G,,,2024-01-30,694.0,Norman Powell,0.5,Steals
,UTA - F,,,2024-01-30,695.0,Simone Fontecchio,0.5,Steals
,NOP - G-F,,,2024-01-30,696.0,Herbert Jones,0.5,Steals
,WAS - F,,,2024-01-30,697.0,Kyle Kuzma,0.5,Steals
,SAC - G,,,2024-01-30,698.0,De'Aaron Fox,1.5,Steals
,MEM - G-F,,,2024-01-30,699.0,Luke Kennard,0.5,Steals
,MEM - F,,,2024-01-30,700.0,Santi Aldama,0.5,Steals
,OKC - C-F,,,2024-01-30,701.0,Chet Holmgren,0.5,Steals
,OKC - G,,,2024-01-30,702.0,Luguentz Dort,0.5,Steals
,MIN - C,,,2024-01-30,703.0,Rudy Gobert,0.5,Steals
,HOU - F,,,2024-01-30,704.0,Jabari Smith Jr.,0.5,Steals
,DAL - F-G,,,2024-01-30,705.0,Luka Doncic,1.5,Steals
,DAL - G-F,,,2024-01-30,706.0,Tim Hardaway Jr.,0.5,Steals
,MIL - C,,,2024-01-30,707.0,Brook Lopez,0.5,Steals
,MIL - G,,,2024-01-30,708.0,Malik Beasley,0.5,Steals
,POR - F,,,2024-01-30,709.0,Jerami Grant,0.5,Steals
,POR - G,,,2024-01-30,710.0,Malcolm Brogdon,0.5,Steals
,POR - C,,,2024-01-30,711.0,Deandre Ayton,0.5,Steals
,CHA - G,,,2024-01-30,712.0,LaMelo Ball,13.0,Rebs+Asts
,NYK - G,,,2024-01-30,713.0,Jalen Brunson,12.0,Rebs+Asts
,CLE - G,,,2024-01-30,714.0,Donovan Mitchell,12.0,Rebs+Asts
,LAC - F,,,2024-01-30,715.0,Kawhi Leonard,10.0,Rebs+Asts
,CLE - C,,,2024-01-30,716.0,Jarrett Allen,14.0,Rebs+Asts
,LAC - G,,,2024-01-30,717.0,James Harden,13.5,Rebs+Asts
,CLE - G-F,,,2024-01-30,718.0,Max Strus,7.5,Rebs+Asts
,LAC - F-C,,,2024-01-30,719.0,Mason Plumlee,9.0,Rebs+Asts
,LAC - G,,,2024-01-30,720.0,Russell Westbrook,9.0,Rebs+Asts
,MIA - C-F,,,2024-01-30,721.0,Bam Adebayo,14.5,Rebs+Asts
,PHX - G,,,2024-01-30,722.0,Bradley Beal,9.0,Rebs+Asts
,MIA - F,,,2024-01-30,723.0,Jimmy Butler,10.0,Rebs+Asts
,PHX - G,,,2024-01-30,724.0,Devin Booker,10.5,Rebs+Asts
,MIA - G,,,2024-01-30,725.0,Terry Rozier,9.0,Rebs+Asts
,MIA - G,,,2024-01-30,726.0,Tyler Herro,8.5,Rebs+Asts
,PHX - C,,,2024-01-30,727.0,Jusuf Nurkic,12.5,Rebs+Asts
,PHX - F,,,2024-01-30,728.0,Kevin Durant,11.5,Rebs+Asts
,UTA - G,,,2024-01-30,729.0,Collin Sexton,8.5,Rebs+Asts
,UTA - F-C,,,2024-01-30,730.0,John Collins,9.0,Rebs+Asts
,BKN - F,,,2024-01-30,731.0,Mikal Bridges,8.0,Rebs+Asts
,UTA - F-C,,,2024-01-30,732.0,Lauri Markkanen,11.0,Rebs+Asts
,BKN - C,,,2024-01-30,733.0,Nicolas Claxton,13.5,Rebs+Asts
,BKN - G,,,2024-01-30,734.0,Spencer Dinwiddie,8.5,Rebs+Asts
,UTA - G,,,2024-01-30,735.0,Kris Dunn,7.5,Rebs+Asts
,NOP - F,,,2024-01-30,736.0,Brandon Ingram,10.5,Rebs+Asts
,BOS - G-F,,,2024-01-30,737.0,Jaylen Brown,9.0,Rebs+Asts
,NOP - G,,,2024-01-30,738.0,CJ McCollum,8.5,Rebs+Asts
,BOS - F-G,,,2024-01-30,739.0,Jayson Tatum,13.5,Rebs+Asts
,BOS - F-C,,,2024-01-30,740.0,Kristaps Porzingis,9.0,Rebs+Asts
,NOP - C,,,2024-01-30,741.0,Jonas Valanciunas,10.5,Rebs+Asts
,NOP - F,,,2024-01-30,742.0,Zion Williamson,9.5,Rebs+Asts
,SAS - F-C,,,2024-01-30,743.0,Victor Wembanyama,15.5,Rebs+Asts
,WAS - F,,,2024-01-30,744.0,Kyle Kuzma,12.5,Rebs+Asts
,SAS - G,,,2024-01-30,745.0,Devin Vassell,8.0,Rebs+Asts
,SAS - F,,,2024-01-30,746.0,Jeremy Sochan,10.5,Rebs+Asts
,WAS - F,,,2024-01-30,747.0,Deni Avdija,10.5,Rebs+Asts
,SAS - G,,,2024-01-30,748.0,Tre Jones,11.5,Rebs+Asts
,WAS - G,,,2024-01-30,749.0,Tyus Jones,11.5,Rebs+Asts
,WAS - F-C,,,2024-01-30,750.0,Daniel Gafford,9.5,Rebs+Asts
,SAC - G,,,2024-01-30,751.0,De'Aaron Fox,9.5,Rebs+Asts
,MEM - F-C,,,2024-01-30,752.0,Jaren Jackson Jr.,8.5,Rebs+Asts
,SAC - C,,,2024-01-30,753.0,Domantas Sabonis,21.5,Rebs+Asts
,MEM - G-F,,,2024-01-30,754.0,Luke Kennard,7.5,Rebs+Asts
,MEM - F,,,2024-01-30,755.0,Santi Aldama,8.5,Rebs+Asts
,SAC - F,,,2024-01-30,756.0,Keegan Murray,8.0,Rebs+Asts
,MEM - G-F,,,2024-01-30,757.0,Vince Williams Jr.,11.0,Rebs+Asts
,SAC - G-F,,,2024-01-30,758.0,Kevin Huerter,7.5,Rebs+Asts
,MEM - G-F,,,2024-01-30,759.0,John Konchar,8.5,Rebs+Asts
,MIN - G,,,2024-01-30,760.0,Anthony Edwards,10.5,Rebs+Asts
,OKC - C-F,,,2024-01-30,761.0,Chet Holmgren,9.5,Rebs+Asts
,OKC - G-F,,,2024-01-30,762.0,Jalen Williams,8.5,Rebs+Asts
,MIN - C-F,,,2024-01-30,763.0,Karl-Anthony Towns,11.5,Rebs+Asts
,OKC - G,,,2024-01-30,764.0,Josh Giddey,10.5,Rebs+Asts
,MIN - G,,,2024-01-30,765.0,Mike Conley,8.5,Rebs+Asts
,MIN - C,,,2024-01-30,766.0,Rudy Gobert,14.5,Rebs+Asts
,OKC - G,,,2024-01-30,767.0,Shai Gilgeous-Alexander,10.5,Rebs+Asts
,HOU - C,,,2024-01-30,768.0,Alperen Sengun,14.5,Rebs+Asts
,LAL - F,,,2024-01-30,769.0,LeBron James,14.5,Rebs+Asts
,HOU - G,,,2024-01-30,770.0,Jalen Green,7.5,Rebs+Asts
,LAL - F-C,,,2024-01-30,771.0,Anthony Davis,15.5,Rebs+Asts
,HOU - G,,,2024-01-30,772.0,Fred VanVleet,11.0,Rebs+Asts
,LAL - G,,,2024-01-30,773.0,D'Angelo Russell,8.5,Rebs+Asts
,HOU - F,,,2024-01-30,774.0,Jabari Smith Jr.,9.5,Rebs+Asts
,LAL - G,,,2024-01-30,775.0,Austin Reaves,8.0,Rebs+Asts
,DAL - F-G,,,2024-01-30,776.0,Luka Doncic,19.5,Rebs+Asts
,ORL - F,,,2024-01-30,777.0,Paolo Banchero,12.5,Rebs+Asts
,DAL - C,,,2024-01-30,778.0,Dereck Lively II,9.0,Rebs+Asts
,ORL - F,,,2024-01-30,779.0,Franz Wagner,9.5,Rebs+Asts
,ORL - G,,,2024-01-30,780.0,Markelle Fultz,7.5,Rebs+Asts
,DEN - C,,,2024-01-30,781.0,Nikola Jokic,21.5,Rebs+Asts
,MIL - F,,,2024-01-30,782.0,Giannis Antetokounmpo,18.5,Rebs+Asts
,DEN - G,,,2024-01-30,783.0,Jamal Murray,11.5,Rebs+Asts
,MIL - G,,,2024-01-30,784.0,Damian Lillard,9.5,Rebs+Asts
,DEN - F,,,2024-01-30,785.0,Michael Porter Jr.,7.5,Rebs+Asts
,MIL - F,,,2024-01-30,786.0,Khris Middleton,9.5,Rebs+Asts
,DEN - F,,,2024-01-30,787.0,Aaron Gordon,9.0,Rebs+Asts
,POR - G,,,2024-01-30,788.0,Anfernee Simons,8.0,Rebs+Asts
,PHI - C-F,,,2024-01-30,789.0,Joel Embiid,16.5,Rebs+Asts
,POR - G,,,2024-01-30,790.0,Malcolm Brogdon,10.0,Rebs+Asts
,POR - C,,,2024-01-30,791.0,Deandre Ayton,11.5,Rebs+Asts
,NYK - G-F,,,2024-01-30,792.0,OG Anunoby,2.5,Blks+Stls
,NYK - G,,,2024-01-30,793.0,Donte DiVincenzo,1.5,Blks+Stls
,LAC - F,,,2024-01-30,794.0,Kawhi Leonard,2.5,Blks+Stls
,PHX - C,,,2024-01-30,795.0,Jusuf Nurkic,1.5,Blks+Stls
,BKN - C,,,2024-01-30,796.0,Nicolas Claxton,3.5,Blks+Stls
,BOS - F-G,,,2024-01-30,797.0,Jayson Tatum,1.5,Blks+Stls
,SAS - G,,,2024-01-30,798.0,Devin Vassell,1.5,Blks+Stls
,WAS - G,,,2024-01-30,799.0,Tyus Jones,1.5,Blks+Stls
,MEM - F-C,,,2024-01-30,800.0,Jaren Jackson Jr.,2.5,Blks+Stls
,SAC - G-F,,,2024-01-30,801.0,Kevin Huerter,1.5,Blks+Stls
,MIN - G,,,2024-01-30,802.0,Anthony Edwards,1.5,Blks+Stls
,OKC - C-F,,,2024-01-30,803.0,Chet Holmgren,2.5,Blks+Stls
,MIN - F,,,2024-01-30,804.0,Jaden McDaniels,1.5,Blks+Stls
,OKC - G-F,,,2024-01-30,805.0,Jalen Williams,1.5,Blks+Stls
,HOU - C,,,2024-01-30,806.0,Alperen Sengun,1.5,Blks+Stls
,LAL - G,,,2024-01-30,807.0,D'Angelo Russell,1.5,Blks+Stls
,DAL - F,,,2024-01-30,808.0,Derrick Jones Jr.,1.5,Blks+Stls
,DEN - G,,,2024-01-30,809.0,Kentavious Caldwell-Pope,1.5,Blks+Stls
,POR - G,,,2024-01-30,810.0,Anfernee Simons,0.5,Blks+Stls
,POR - F,,,2024-01-30,811.0,Jerami Grant,1.5,Blks+Stls
,POR - C,,,2024-01-30,812.0,Deandre Ayton,1.5,Blks+Stls
,NYK - G,,,2024-01-30,813.0,Donte DiVincenzo,1.5,Turnovers
,CLE - C,,,2024-01-30,814.0,Jarrett Allen,1.5,Turnovers
,LAC - G,,,2024-01-30,815.0,James Harden,2.5,Turnovers
,CLE - F-G,,,2024-01-30,816.0,Isaac Okoro,0.5,Turnovers
,LAC - F,,,2024-01-30,817.0,Paul George,1.5,Turnovers
,LAC - F-C,,,2024-01-30,818.0,Daniel Theis,0.5,Turnovers
,MIA - F,,,2024-01-30,819.0,Jimmy Butler,1.5,Turnovers
,MIA - G,,,2024-01-30,820.0,Terry Rozier,1.5,Turnovers
,PHX - C,,,2024-01-30,821.0,Jusuf Nurkic,1.5,Turnovers
,MIA - F,,,2024-01-30,822.0,Haywood Highsmith,0.5,Turnovers
,PHX - F,,,2024-01-30,823.0,Kevin Durant,2.5,Turnovers
,BKN - F,,,2024-01-30,824.0,Cameron Johnson,0.5,Turnovers
,UTA - F,,,2024-01-30,825.0,Simone Fontecchio,0.5,Turnovers
,BOS - G-F,,,2024-01-30,826.0,Jaylen Brown,2.5,Turnovers
,NOP - G,,,2024-01-30,827.0,CJ McCollum,1.5,Turnovers
,BOS - F-G,,,2024-01-30,828.0,Jayson Tatum,2.5,Turnovers
,SAS - F-C,,,2024-01-30,829.0,Victor Wembanyama,3.5,Turnovers
,WAS - G,,,2024-01-30,830.0,Jordan Poole,1.5,Turnovers
,SAC - G,,,2024-01-30,831.0,De'Aaron Fox,2.5,Turnovers
,SAC - C,,,2024-01-30,832.0,Domantas Sabonis,3.5,Turnovers
,OKC - G,,,2024-01-30,833.0,Josh Giddey,1.5,Turnovers
,OKC - G,,,2024-01-30,834.0,Shai Gilgeous-Alexander,2.5,Turnovers
,HOU - C,,,2024-01-30,835.0,Alperen Sengun,2.5,Turnovers
,LAL - F,,,2024-01-30,836.0,LeBron James,3.5,Turnovers
,LAL - F,,,2024-01-30,837.0,Taurean Prince,0.5,Turnovers
,MIL - G,,,2024-01-30,838.0,Malik Beasley,0.5,Turnovers
,POR - G,,,2024-01-30,839.0,Anfernee Simons,2.5,Turnovers
,POR - G,,,2024-01-30,840.0,Malcolm Brogdon,1.5,Turnovers
,POR - C,,,2024-01-30,841.0,Deandre Ayton,1.5,Turnovers
